RMSE,MAE,MAPE,R2,NLL,CRPS,PICP,MPIW,IS,model,fold,seed,train_time_s,infer_time_ms,config_hash
43.0778230787388,35.853226509647094,134.5148238456388,-0.16937384311492165,9.911472682505472,30.359407718705114,0.3333333333333333,45.377655029296875,726.9337364694346,TCN,B0007,43,3.67,1014.93,9471b0a0
45.76035412096013,37.54171571869781,132.91458306760978,-0.3195462958204105,5.564158401166021,27.731175119888057,0.7608695652173914,108.38375854492188,289.59254389223844,TCN,B0007,44,3.94,1031.42,9471b0a0
29.495391482825205,24.70252859770362,293.1690358650622,-1.3261447024735769,5.183384724932369,18.275600175687906,0.7611940298507462,74.68722534179688,190.08394884707323,TCN,B0018,42,4.26,849.58,9471b0a0
31.603675422575947,26.747692165090076,316.28371416839775,-1.6705676476351092,6.022386145115135,20.77139034130544,0.5373134328358209,62.07939910888672,311.3286526808098,TCN,B0018,43,3.47,874.71,9471b0a0
28.957113095431435,24.53745560147869,283.7592492525526,-1.2420171091486814,4.8513796937031755,17.14321753437955,0.9701492537313433,115.66220092773438,121.60575627568943,TCN,B0018,44,4.35,869.48,9471b0a0
51.893290132243,45.07171928380665,95.35382982680875,-2.5810020754642937,36664.66581167118,44.92063619311369,0.0,1.049728274345398,1782.9239352693683,CNN1D,B0005,42,1.36,347.01,f0ca1188
52.09756088153936,45.20039328681795,95.0206342383829,-2.609249800273537,46161.151656538445,45.055222359256696,0.0,1.008651614189148,1788.8513513734465,CNN1D,B0005,43,1.4,361.41,f0ca1188
53.030795818817175,45.94530627680452,97.24726156024263,-2.739714501565262,60503.1476912571,45.8339760456866,0.0,0.7735251784324646,1823.115270420909,CNN1D,B0005,44,1.44,363.58,f0ca1188
42.892162172440166,37.204423550563526,94.10939843887817,-2.537956876590206,21653.981369826208,37.059301780577776,0.0,1.008309006690979,1469.019072516055,CNN1D,B0006,42,1.41,341.12,f0ca1188
42.97884482772038,37.287843462787094,94.33103114593868,-2.5522713513947437,28992.623822265065,37.14964782663296,0.0,0.960186243057251,1473.2701995757561,CNN1D,B0006,43,1.41,347.43,f0ca1188
43.89399724858736,38.00401960369907,96.67653487286043,-2.705159604728836,40827.41558819865,37.89833280728373,0.0,0.734318733215332,1506.2087285118766,CNN1D,B0006,44,1.42,348.97,f0ca1188
76.6986863373631,66.47336454689503,96.5742478111788,-2.706992691830411,48842.45968351759,66.315752443773,0.0,1.0950919389724731,2638.1278352331424,CNN1D,B0007,42,1.31,407.28,f0ca1188
76.80703621091396,66.59842798113823,96.41440784352699,-2.7174735985955882,97761.11206963344,66.44768751077288,0.0,1.0473476648330688,2644.0375131485257,CNN1D,B0007,43,1.31,376.95,f0ca1188
77.81581313440232,67.39192150749159,98.03475030803402,-2.8157648104405104,111253.83086462617,67.27591031465776,0.0,0.806049108505249,2680.3619274335065,CNN1D,B0007,44,1.32,387.23,f0ca1188
35.85564186440491,31.01898032382353,92.89652971487175,-2.437505490664348,7454.994105190425,30.862780544876006,0.0,1.0852789878845215,1220.1389106093948,CNN1D,B0018,42,1.48,356.44,f0ca1188
36.002245074137264,31.138083679462547,92.47885177150387,-2.465672861973907,9501.073472835797,30.987033011357013,0.0,1.0495223999023438,1225.5824208682152,CNN1D,B0018,43,1.42,330.57,f0ca1188
36.92244095403132,31.919275215757427,95.77633090816946,-2.6450979839677253,17554.38233164198,31.80409217668379,0.0,0.8002945184707642,1261.5654136298308,CNN1D,B0018,44,1.43,329.24,f0ca1188
51.11473683002902,43.34048855430201,87.73986982341225,-2.4743568101105384,4016.537542900211,43.019095351108355,0.021052631578947368,2.261058807373047,1691.2015033922698,Transformer,B0005,42,4.78,918.37,61611c34
51.00400749034686,43.23017918938085,87.63342947836593,-2.459320186270423,3640.900787960542,42.8897001373029,0.021052631578947368,2.3989763259887695,1684.2000120689995,Transformer,B0005,43,4.69,922.31,61611c34
50.60207160095867,42.777836794602244,86.83054400762819,-2.405012832857112,2830.594892811074,42.399233284918694,0.021052631578947368,2.6585934162139893,1661.26589679969,Transformer,B0005,44,4.78,921.45,61611c34
41.88289611734778,35.372233786160436,85.96958434468507,-2.3734172830318183,2690.748573633601,35.04945183214188,0.02531645569620253,2.273131847381592,1372.412475341483,Transformer,B0006,42,4.83,840.31,61611c34
41.777660126992814,35.26875449132316,85.90857714144839,-2.3564863186279332,2453.7363120772666,34.9312987684879,0.0379746835443038,2.3832294940948486,1366.1948254621482,Transformer,B0006,43,4.83,849.26,61611c34
41.39396318001943,34.857227717773824,85.27977180592723,-2.2951157456707785,1894.8384711344345,34.47642339051049,0.0379746835443038,2.677507162094116,1344.2856360115582,Transformer,B0006,44,4.86,860.28,61611c34
75.92659220788815,64.773862655612,90.52895460413976,-2.632734802900556,8879.639479490974,64.45225694293816,0.021739130434782608,2.253880739212036,2548.531742285991,Transformer,B0007,42,4.31,1057.38,61611c34
75.82946506241677,64.67671988321388,90.25298336649638,-2.6234465819370594,8006.895375070417,64.33616018312796,0.021739130434782608,2.3916587829589844,2542.0962087883468,Transformer,B0007,43,4.28,1057.4,61611c34
75.41114189697934,64.1998534479003,89.79013535195104,-2.583578420757036,6324.586658814153,63.82144824574807,0.014492753623188406,2.6452178955078125,2518.1374584816504,Transformer,B0007,44,4.35,1065.48,61611c34
34.96940035233039,29.413375847375214,84.51756808470947,-2.269676366314345,1877.2205820658282,29.094703217736633,0.029850746268656716,2.251854419708252,1134.4515969397416,Transformer,B0018,42,4.95,818.39,61611c34
