protocol,cell_id,seed,corruption,model,rmse,violation_rate,violation_count
same_cell,CS2_36,1024,impulse_spikes,pinn,1.1900966952865182,0.0,0
same_cell,CS2_36,1024,impulse_spikes,lstm,0.24821844610855617,0.0,0
same_cell,CS2_37,1024,impulse_spikes,pinn,0.28866674188019137,0.0,0
same_cell,CS2_37,1024,impulse_spikes,lstm,0.22242711721664615,0.0,0
same_cell,CS2_38,1024,impulse_spikes,pinn,0.22132637757643492,0.0,0
same_cell,CS2_38,1024,impulse_spikes,lstm,0.20641889210120654,0.0,0
same_cell,CS2_33,42,missing_segments,pinn,0.29929195382383444,0.0,0
same_cell,CS2_33,42,missing_segments,lstm,0.27720605461828757,0.0,0
same_cell,CS2_34,42,missing_segments,pinn,0.1536647343276259,0.0,0
same_cell,CS2_34,42,missing_segments,lstm,0.14094042803089793,0.0,0
same_cell,CS2_35,42,missing_segments,pinn,0.20940768836505577,0.0,0
same_cell,CS2_35,42,missing_segments,lstm,0.19900688547620568,0.0,0
same_cell,CS2_36,42,missing_segments,pinn,1.1639600827275551,0.0,0
same_cell,CS2_36,42,missing_segments,lstm,0.24777339566044998,0.0,0
same_cell,CS2_37,42,missing_segments,pinn,0.3302027770661409,0.0,0
same_cell,CS2_37,42,missing_segments,lstm,0.22201748331779134,0.0,0
same_cell,CS2_38,42,missing_segments,pinn,0.23793989291257825,0.0,0
same_cell,CS2_38,42,missing_segments,lstm,0.20638927185551706,0.0,0
same_cell,CS2_33,123,missing_segments,pinn,0.2975426881944064,0.0,0
same_cell,CS2_33,123,missing_segments,lstm,0.27644630151499766,0.0,0
same_cell,CS2_34,123,missing_segments,pinn,0.1642250218452004,0.0,0
same_cell,CS2_34,123,missing_segments,lstm,0.14137918633768562,0.0,0
same_cell,CS2_35,123,missing_segments,pinn,0.20788022305860177,0.0,0
same_cell,CS2_35,123,missing_segments,lstm,0.19904875369633565,0.0,0
same_cell,CS2_36,123,missing_segments,pinn,1.169346716429653,0.0,0
same_cell,CS2_36,123,missing_segments,lstm,0.24861606653210888,0.0,0
same_cell,CS2_37,123,missing_segments,pinn,0.27798956832384497,0.0,0
same_cell,CS2_37,123,missing_segments,lstm,0.2221317034048135,0.0,0
same_cell,CS2_38,123,missing_segments,pinn,0.220801639157755,0.0,0
same_cell,CS2_38,123,missing_segments,lstm,0.20611513701916256,0.0,0
same_cell,CS2_33,456,missing_segments,pinn,0.29327966587038634,0.0,0
same_cell,CS2_33,456,missing_segments,lstm,0.2765773320227377,0.0,0
same_cell,CS2_34,456,missing_segments,pinn,0.15266946972904213,0.0,0
same_cell,CS2_34,456,missing_segments,lstm,0.1422019346683499,0.0,0
same_cell,CS2_35,456,missing_segments,pinn,0.2091888932036918,0.0,0
same_cell,CS2_35,456,missing_segments,lstm,0.1997083750197676,0.0,0
same_cell,CS2_36,456,missing_segments,pinn,1.2208216197287882,0.0,0
same_cell,CS2_36,456,missing_segments,lstm,0.248780752642851,0.0,0
same_cell,CS2_37,456,missing_segments,pinn,0.2895475364173886,0.0,0
same_cell,CS2_37,456,missing_segments,lstm,0.22294094292672942,0.0,0
same_cell,CS2_38,456,missing_segments,pinn,0.22610672133110726,0.0,0
same_cell,CS2_38,456,missing_segments,lstm,0.20742224390181957,0.0,0
same_cell,CS2_33,789,missing_segments,pinn,0.2948409407965781,0.0,0
same_cell,CS2_33,789,missing_segments,lstm,0.27756653392084896,0.0,0
same_cell,CS2_34,789,missing_segments,pinn,0.1647484118710026,0.0,0
same_cell,CS2_34,789,missing_segments,lstm,0.1408069747619684,0.0,0
same_cell,CS2_35,789,missing_segments,pinn,0.21014800732876243,0.0,0
same_cell,CS2_35,789,missing_segments,lstm,0.19994376019426327,0.0,0
same_cell,CS2_36,789,missing_segments,pinn,1.2281077476021685,0.0,0
same_cell,CS2_36,789,missing_segments,lstm,0.24833789765137942,0.0,0
same_cell,CS2_37,789,missing_segments,pinn,0.2789358359052515,0.0,0
same_cell,CS2_37,789,missing_segments,lstm,0.22119399065132841,0.0,0
same_cell,CS2_38,789,missing_segments,pinn,0.22183563767892275,0.0,0
same_cell,CS2_38,789,missing_segments,lstm,0.20706712116609702,0.0,0
same_cell,CS2_33,1024,missing_segments,pinn,0.29631156957516863,0.0,0
same_cell,CS2_33,1024,missing_segments,lstm,0.2761176707449622,0.0,0
same_cell,CS2_34,1024,missing_segments,pinn,0.16117329914099596,0.0,0
same_cell,CS2_34,1024,missing_segments,lstm,0.14123979928383454,0.0,0
same_cell,CS2_35,1024,missing_segments,pinn,0.2087911687908348,0.0,0
same_cell,CS2_35,1024,missing_segments,lstm,0.19892553801141513,0.0,0
same_cell,CS2_36,1024,missing_segments,pinn,1.2287879442948604,0.0,0
same_cell,CS2_36,1024,missing_segments,lstm,0.2489575813545518,0.0,0
same_cell,CS2_37,1024,missing_segments,pinn,0.30355728621750466,0.0,0
same_cell,CS2_37,1024,missing_segments,lstm,0.22178893193640944,0.0,0
same_cell,CS2_38,1024,missing_segments,pinn,0.21992889236683746,0.0,0
